"year","period","periodName","Employment among men 35-44 (%)","Employment among women 35-44 (%)","date"
1995,1,"January",88.9,73.9,"1995-01-01"
1995,2,"February",89.2,73.8,"1995-02-01"
1995,3,"March",88.9,73.7,"1995-03-01"
1995,4,"April",88.5,74,"1995-04-01"
1995,5,"May",88.2,73.9,"1995-05-01"
1995,6,"June",88.4,73.5,"1995-06-01"
1995,7,"July",87.9,73.6,"1995-07-01"
1995,8,"August",87.7,73.3,"1995-08-01"
1995,9,"September",88.3,73.8,"1995-09-01"
1995,10,"October",88.2,73.7,"1995-10-01"
1995,11,"November",88,74,"1995-11-01"
1995,12,"December",88.1,74,"1995-12-01"
1996,1,"January",88.5,73.7,"1996-01-01"
1996,2,"February",88.6,73.8,"1996-02-01"
1996,3,"March",88.5,73.8,"1996-03-01"
1996,4,"April",88.3,74.2,"1996-04-01"
1996,5,"May",88.3,74.2,"1996-05-01"
1996,6,"June",88.4,74.3,"1996-06-01"
1996,7,"July",88.5,74.3,"1996-07-01"
1996,8,"August",88.7,74.6,"1996-08-01"
1996,9,"September",88.9,74.4,"1996-09-01"
1996,10,"October",89,74.6,"1996-10-01"
1996,11,"November",89.1,74.7,"1996-11-01"
1996,12,"December",89.2,74.4,"1996-12-01"
1997,1,"January",88.7,74.6,"1997-01-01"
1997,2,"February",88.7,74.4,"1997-02-01"
1997,3,"March",88.8,74.5,"1997-03-01"
1997,4,"April",88.8,74.2,"1997-04-01"
1997,5,"May",89,73.9,"1997-05-01"
1997,6,"June",89,74.5,"1997-06-01"
1997,7,"July",89.3,75.2,"1997-07-01"
1997,8,"August",89.6,75.7,"1997-08-01"
1997,9,"September",89.7,75.1,"1997-09-01"
1997,10,"October",89.5,74.9,"1997-10-01"
1997,11,"November",90,74.4,"1997-11-01"
1997,12,"December",89.4,74.5,"1997-12-01"
1998,1,"January",89.5,74,"1998-01-01"
1998,2,"February",89.6,74.3,"1998-02-01"
1998,3,"March",89.6,74.2,"1998-03-01"
1998,4,"April",90,74.1,"1998-04-01"
1998,5,"May",89.7,73.9,"1998-05-01"
1998,6,"June",89.5,74.2,"1998-06-01"
1998,7,"July",89.8,74.3,"1998-07-01"
1998,8,"August",89.7,74.3,"1998-08-01"
1998,9,"September",90,74.3,"1998-09-01"
1998,10,"October",90,74.3,"1998-10-01"
1998,11,"November",90.3,73.9,"1998-11-01"
1998,12,"December",90.3,74.4,"1998-12-01"
1999,1,"January",91,74.5,"1999-01-01"
1999,2,"February",90.8,74.4,"1999-02-01"
1999,3,"March",90.6,74.6,"1999-03-01"
1999,4,"April",90.4,74.5,"1999-04-01"
1999,5,"May",89.8,74.8,"1999-05-01"
1999,6,"June",90,74.6,"1999-06-01"
1999,7,"July",89.8,74.3,"1999-07-01"
1999,8,"August",89.6,74.4,"1999-08-01"
1999,9,"September",89.7,74.7,"1999-09-01"
1999,10,"October",89.7,75.1,"1999-10-01"
1999,11,"November",90.2,75.3,"1999-11-01"
1999,12,"December",90.6,74.8,"1999-12-01"
2000,1,"January",90.9,74.8,"2000-01-01"
2000,2,"February",90.6,75.1,"2000-02-01"
2000,3,"March",90.4,74.6,"2000-03-01"
2000,4,"April",90.3,74.8,"2000-04-01"
2000,5,"May",89.9,74.4,"2000-05-01"
2000,6,"June",89.8,74.8,"2000-06-01"
2000,7,"July",89.9,74.4,"2000-07-01"
2000,8,"August",89.5,74.4,"2000-08-01"
2000,9,"September",89.8,74.7,"2000-09-01"
2000,10,"October",90.1,74.4,"2000-10-01"
2000,11,"November",89.9,74.9,"2000-11-01"
2000,12,"December",90.1,74.9,"2000-12-01"
2001,1,"January",90.2,75.4,"2001-01-01"
2001,2,"February",90,75.2,"2001-02-01"
2001,3,"March",90,75.2,"2001-03-01"
2001,4,"April",89.8,75,"2001-04-01"
2001,5,"May",89.4,74.4,"2001-05-01"
2001,6,"June",89.4,74.1,"2001-06-01"
2001,7,"July",88.9,74,"2001-07-01"
2001,8,"August",88.7,73.7,"2001-08-01"
2001,9,"September",88.5,73.6,"2001-09-01"
2001,10,"October",88.5,73.7,"2001-10-01"
2001,11,"November",88.6,73.3,"2001-11-01"
2001,12,"December",88.5,73.5,"2001-12-01"
2002,1,"January",88.1,73.6,"2002-01-01"
2002,2,"February",88.4,73.8,"2002-02-01"
2002,3,"March",88.1,73.2,"2002-03-01"
2002,4,"April",88.1,73.1,"2002-04-01"
2002,5,"May",88.5,72.8,"2002-05-01"
2002,6,"June",88.3,72.5,"2002-06-01"
2002,7,"July",87.3,72.6,"2002-07-01"
2002,8,"August",88.1,72.5,"2002-08-01"
2002,9,"September",88.1,72.5,"2002-09-01"
2002,10,"October",87.7,72.4,"2002-10-01"
2002,11,"November",87.3,72.7,"2002-11-01"
2002,12,"December",87.4,72.8,"2002-12-01"
2003,1,"January",87.5,73.1,"2003-01-01"
2003,2,"February",87.2,72.3,"2003-02-01"
2003,3,"March",87.2,72.8,"2003-03-01"
2003,4,"April",87.3,73.1,"2003-04-01"
2003,5,"May",87,72.6,"2003-05-01"
2003,6,"June",87,72.6,"2003-06-01"
2003,7,"July",87.2,71.9,"2003-07-01"
2003,8,"August",87.6,72.1,"2003-08-01"
2003,9,"September",88,71.6,"2003-09-01"
2003,10,"October",87.8,71.7,"2003-10-01"
2003,11,"November",87.9,72,"2003-11-01"
2003,12,"December",88.1,71.6,"2003-12-01"
2004,1,"January",87.7,71.8,"2004-01-01"
2004,2,"February",87.8,72,"2004-02-01"
2004,3,"March",87.6,72,"2004-03-01"
2004,4,"April",87.7,72,"2004-04-01"
2004,5,"May",88.1,72.4,"2004-05-01"
2004,6,"June",88.3,72.2,"2004-06-01"
2004,7,"July",88.2,72.4,"2004-07-01"
2004,8,"August",87.8,72.3,"2004-08-01"
2004,9,"September",87.8,72.2,"2004-09-01"
2004,10,"October",87.9,72.7,"2004-10-01"
2004,11,"November",88.6,72.7,"2004-11-01"
2004,12,"December",88.4,72.5,"2004-12-01"
2005,1,"January",88.3,72.3,"2005-01-01"
2005,2,"February",88.3,72.4,"2005-02-01"
2005,3,"March",88.8,72.5,"2005-03-01"
2005,4,"April",88.6,72.7,"2005-04-01"
2005,5,"May",88.5,72.8,"2005-05-01"
2005,6,"June",88.9,72.4,"2005-06-01"
2005,7,"July",88.9,72.8,"2005-07-01"
2005,8,"August",88.7,72.8,"2005-08-01"
2005,9,"September",89,73.2,"2005-09-01"
2005,10,"October",88.8,72.4,"2005-10-01"
2005,11,"November",88.5,72.3,"2005-11-01"
2005,12,"December",88.6,72.8,"2005-12-01"
2006,1,"January",89,72.7,"2006-01-01"
2006,2,"February",89,72.9,"2006-02-01"
2006,3,"March",89,72.7,"2006-03-01"
2006,4,"April",89.1,72.3,"2006-04-01"
2006,5,"May",89.1,72.4,"2006-05-01"
2006,6,"June",88.9,72.7,"2006-06-01"
2006,7,"July",88.8,72.7,"2006-07-01"
2006,8,"August",88.9,73.1,"2006-08-01"
2006,9,"September",88.8,73.2,"2006-09-01"
2006,10,"October",89.1,73.4,"2006-10-01"
2006,11,"November",89.2,73.4,"2006-11-01"
2006,12,"December",89.2,73.4,"2006-12-01"
2007,1,"January",90,73.3,"2007-01-01"
2007,2,"February",89.9,73.3,"2007-02-01"
2007,3,"March",89.7,73.1,"2007-03-01"
2007,4,"April",89.8,72.2,"2007-04-01"
2007,5,"May",89.7,72.3,"2007-05-01"
2007,6,"June",89.2,72.2,"2007-06-01"
2007,7,"July",88.7,72.3,"2007-07-01"
2007,8,"August",89.1,72.5,"2007-08-01"
2007,9,"September",88.8,73,"2007-09-01"
2007,10,"October",88.6,72.7,"2007-10-01"
2007,11,"November",88.8,73.1,"2007-11-01"
2007,12,"December",88.7,73.1,"2007-12-01"
2008,1,"January",88.7,73.4,"2008-01-01"
2008,2,"February",89.3,72.8,"2008-02-01"
2008,3,"March",89.1,72.6,"2008-03-01"
2008,4,"April",88.3,73.2,"2008-04-01"
2008,5,"May",88.1,73.4,"2008-05-01"
2008,6,"June",88.1,73.2,"2008-06-01"
2008,7,"July",88,73.2,"2008-07-01"
2008,8,"August",87.9,71.9,"2008-08-01"
2008,9,"September",87.7,72.5,"2008-09-01"
2008,10,"October",87.5,72.3,"2008-10-01"
2008,11,"November",86.8,71.8,"2008-11-01"
2008,12,"December",86.1,72,"2008-12-01"
2009,1,"January",85.7,71.1,"2009-01-01"
2009,2,"February",84.6,71.3,"2009-02-01"
2009,3,"March",84.1,70.5,"2009-03-01"
2009,4,"April",84.1,70.8,"2009-04-01"
2009,5,"May",83.9,70.7,"2009-05-01"
2009,6,"June",83.7,71.3,"2009-06-01"
2009,7,"July",83.5,71.1,"2009-07-01"
2009,8,"August",83.4,70.8,"2009-08-01"
2009,9,"September",83.2,70.2,"2009-09-01"
2009,10,"October",82.8,69.3,"2009-10-01"
2009,11,"November",83.2,69.5,"2009-11-01"
2009,12,"December",82.8,68.8,"2009-12-01"
2010,1,"January",82.9,69.6,"2010-01-01"
2010,2,"February",82.6,69.5,"2010-02-01"
2010,3,"March",83.6,69.2,"2010-03-01"
2010,4,"April",84,69.7,"2010-04-01"
2010,5,"May",84,69.7,"2010-05-01"
2010,6,"June",84.1,69.6,"2010-06-01"
2010,7,"July",84,69,"2010-07-01"
2010,8,"August",84.1,69.1,"2010-08-01"
2010,9,"September",83.8,69.2,"2010-09-01"
2010,10,"October",84.1,69.6,"2010-10-01"
2010,11,"November",83.9,69.3,"2010-11-01"
2010,12,"December",83.8,69.3,"2010-12-01"
2011,1,"January",83.8,69.4,"2011-01-01"
2011,2,"February",84.3,69.2,"2011-02-01"
2011,3,"March",84.4,70.1,"2011-03-01"
2011,4,"April",84.3,69.7,"2011-04-01"
2011,5,"May",84.3,69.2,"2011-05-01"
2011,6,"June",84.2,69.1,"2011-06-01"
2011,7,"July",84.2,69.5,"2011-07-01"
2011,8,"August",83.7,68.8,"2011-08-01"
2011,9,"September",83.9,68.8,"2011-09-01"
2011,10,"October",83.7,69.3,"2011-10-01"
2011,11,"November",84.6,69.3,"2011-11-01"
2011,12,"December",84.9,69.5,"2011-12-01"
2012,1,"January",85.1,69.3,"2012-01-01"
2012,2,"February",85.1,69.6,"2012-02-01"
2012,3,"March",84.6,70.1,"2012-03-01"
2012,4,"April",84.5,69.9,"2012-04-01"
2012,5,"May",84.6,69.8,"2012-05-01"
2012,6,"June",84.6,69.6,"2012-06-01"
2012,7,"July",85,69.4,"2012-07-01"
2012,8,"August",85.2,69.5,"2012-08-01"
2012,9,"September",85.3,69.6,"2012-09-01"
2012,10,"October",85.4,70,"2012-10-01"
2012,11,"November",84.6,69.7,"2012-11-01"
2012,12,"December",85,69.6,"2012-12-01"
2013,1,"January",85.1,68.7,"2013-01-01"
2013,2,"February",85.5,68.9,"2013-02-01"
2013,3,"March",85.7,69.1,"2013-03-01"
2013,4,"April",85.8,69.1,"2013-04-01"
2013,5,"May",85.8,69.5,"2013-05-01"
2013,6,"June",85.4,69.4,"2013-06-01"
2013,7,"July",85.7,69.9,"2013-07-01"
2013,8,"August",85.4,70.3,"2013-08-01"
2013,9,"September",85.2,70.4,"2013-09-01"
2013,10,"October",85.2,69.5,"2013-10-01"
2013,11,"November",85.5,69.9,"2013-11-01"
2013,12,"December",85.8,70,"2013-12-01"
2014,1,"January",86.5,70.5,"2014-01-01"
2014,2,"February",85.7,71.4,"2014-02-01"
2014,3,"March",86.2,70.6,"2014-03-01"
2014,4,"April",85.9,70.8,"2014-04-01"
2014,5,"May",86.1,70.3,"2014-05-01"
2014,6,"June",86.3,70.5,"2014-06-01"
2014,7,"July",86.3,70,"2014-07-01"
2014,8,"August",86.3,70.5,"2014-08-01"
2014,9,"September",86.7,70.4,"2014-09-01"
2014,10,"October",86.7,70.3,"2014-10-01"
2014,11,"November",86.6,70.4,"2014-11-01"
2014,12,"December",86.4,70.7,"2014-12-01"
2015,1,"January",86.5,70.7,"2015-01-01"
2015,2,"February",86.2,70.7,"2015-02-01"
2015,3,"March",86.6,70.6,"2015-03-01"
2015,4,"April",86.5,70.7,"2015-04-01"
2015,5,"May",86.3,70.9,"2015-05-01"
2015,6,"June",86.9,71.2,"2015-06-01"
2015,7,"July",86.6,71.1,"2015-07-01"
2015,8,"August",87.2,71.2,"2015-08-01"
2015,9,"September",87.3,71,"2015-09-01"
2015,10,"October",87,71.2,"2015-10-01"
2015,11,"November",86.6,71.5,"2015-11-01"
2015,12,"December",87.1,71.6,"2015-12-01"
2016,1,"January",87.3,71.4,"2016-01-01"
2016,2,"February",87.5,71.4,"2016-02-01"
2016,3,"March",87.4,71.9,"2016-03-01"
2016,4,"April",87.2,71.3,"2016-04-01"
2016,5,"May",87.5,71.7,"2016-05-01"
2016,6,"June",87.6,71.4,"2016-06-01"
2016,7,"July",87.4,71.9,"2016-07-01"
2016,8,"August",87.2,71,"2016-08-01"
2016,9,"September",86.9,71.8,"2016-09-01"
2016,10,"October",87.2,71.5,"2016-10-01"
2016,11,"November",87.7,71.6,"2016-11-01"
2016,12,"December",87.1,71.4,"2016-12-01"
2017,1,"January",87.4,71.5,"2017-01-01"
2017,2,"February",87.4,71.7,"2017-02-01"
2017,3,"March",87.6,71.7,"2017-03-01"
2017,4,"April",88.1,71.7,"2017-04-01"
2017,5,"May",87.9,72.2,"2017-05-01"
2017,6,"June",88.2,72.4,"2017-06-01"
2017,7,"July",87.4,72.5,"2017-07-01"
2017,8,"August",87.1,72.4,"2017-08-01"
2017,9,"September",87.9,72.6,"2017-09-01"
2017,10,"October",88.1,72.2,"2017-10-01"
2017,11,"November",87.8,72.7,"2017-11-01"
2017,12,"December",88.5,72.5,"2017-12-01"
2018,1,"January",88.1,72.8,"2018-01-01"
2018,2,"February",88.6,72.5,"2018-02-01"
2018,3,"March",88.6,72.4,"2018-03-01"
2018,4,"April",88.8,72.7,"2018-04-01"
2018,5,"May",88.8,72.2,"2018-05-01"
2018,6,"June",88.5,72.8,"2018-06-01"
2018,7,"July",88.7,72.8,"2018-07-01"
2018,8,"August",88.4,72.6,"2018-08-01"
2018,9,"September",87.5,72.5,"2018-09-01"
2018,10,"October",88,73.4,"2018-10-01"
2018,11,"November",88,73,"2018-11-01"
2018,12,"December",88.2,73,"2018-12-01"
2019,1,"January",88.7,72.9,"2019-01-01"
2019,2,"February",89.3,73.3,"2019-02-01"
2019,3,"March",88.3,72.9,"2019-03-01"
2019,4,"April",88.5,73,"2019-04-01"
2019,5,"May",88.4,73.3,"2019-05-01"
2019,6,"June",88.6,73.1,"2019-06-01"
2019,7,"July",88.3,73.5,"2019-07-01"
2019,8,"August",88,73.9,"2019-08-01"
2019,9,"September",88.7,74.3,"2019-09-01"
2019,10,"October",88.4,74.3,"2019-10-01"
2019,11,"November",88.2,73.7,"2019-11-01"
2019,12,"December",88.2,74.1,"2019-12-01"
2020,1,"January",88.4,74.3,"2020-01-01"
2020,2,"February",88.3,74.3,"2020-02-01"
2020,3,"March",87.8,73.3,"2020-03-01"
2020,4,"April",79.2,64.7,"2020-04-01"
2020,5,"May",80.6,65.7,"2020-05-01"
2020,6,"June",81.8,68.7,"2020-06-01"
2020,7,"July",82.9,69.2,"2020-07-01"
2020,8,"August",84.4,70.3,"2020-08-01"
2020,9,"September",84,69.2,"2020-09-01"
2020,10,"October",84.2,69.8,"2020-10-01"
2020,11,"November",84.4,70.3,"2020-11-01"
2020,12,"December",84,70.1,"2020-12-01"
2021,1,"January",84.7,70.1,"2021-01-01"
2021,2,"February",84.8,69.9,"2021-02-01"
2021,3,"March",85.1,70.6,"2021-03-01"
2021,4,"April",85.1,70.6,"2021-04-01"
2021,5,"May",85.2,70.7,"2021-05-01"
2021,6,"June",85.5,70.8,"2021-06-01"
2021,7,"July",85.8,71.7,"2021-07-01"
2021,8,"August",85.6,71.7,"2021-08-01"
2021,9,"September",86,71.2,"2021-09-01"
2021,10,"October",85.8,71.7,"2021-10-01"
2021,11,"November",86,72,"2021-11-01"
2021,12,"December",86.2,73,"2021-12-01"
2022,1,"January",86.5,73,"2022-01-01"
2022,2,"February",87.7,73.5,"2022-02-01"
2022,3,"March",87.7,74.2,"2022-03-01"
2022,4,"April",87.2,74.2,"2022-04-01"
2022,5,"May",87.2,74.3,"2022-05-01"
2022,6,"June",86.5,74.1,"2022-06-01"
2022,7,"July",87.1,73.9,"2022-07-01"
2022,8,"August",87.1,74.1,"2022-08-01"
